Step,Loss
25,3.1597
50,2.3401
75,2.5203
100,2.2425
125,2.4773
150,2.1187
175,2.4718
200,2.2298
225,2.2736
250,2.1417
275,2.3072
300,2.1228
325,2.4071
350,2.166
375,2.354
400,2.3079
425,2.2535
450,2.1439
475,2.4053
500,2.1439
525,2.3001
550,2.1918
575,2.3102
600,2.1427
625,2.293
650,2.1058
675,2.3346
700,2.1445
725,2.2724
750,2.0936
775,2.334
800,2.1604
825,2.2748
850,2.146
875,2.2576
900,2.165
925,2.2881
950,2.1735
975,2.3291
1000,2.0861
1025,2.2935
1050,2.1206
1075,2.2514
1100,2.1595
1125,2.3023
1150,2.0587
1175,2.3434
1200,2.092
1225,2.3528
1250,2.0671
1275,2.3499
1300,2.142
1325,2.2105
1350,2.1133
1375,2.3796
1400,2.1267
1425,2.2881
1450,2.1221
1475,2.3547
1500,2.0825
1525,2.3085
1550,2.195
1575,2.2609
1600,2.0673
1625,2.2935
1650,2.1011
1675,2.3694
1700,2.0768
1725,2.252
1750,2.1505
1775,2.2664
1800,2.0621
1825,2.3358
1850,2.196
1875,2.3776
1900,2.117
1925,2.3013
1950,2.1082
1975,2.2953
2000,2.0504
2025,2.2643
2050,2.1291
2075,2.2303
2100,2.1462
2125,2.3464
2150,2.1219
2175,2.2664
2200,2.1224
2225,2.3255
2250,2.0938
2275,2.283
2300,2.1401
2325,2.2184
2350,2.1387
2375,2.2102
2400,2.0146
2425,2.2811
2450,2.0815
2475,2.3646
2500,2.2092
2525,2.3392
2550,2.1179
2575,2.2801
2600,2.1959
2625,2.3456
2650,2.0814
2675,2.2804
2700,2.1894
2725,2.3212
2750,2.1581
2775,2.3277
2800,2.1379
2825,2.2812
2850,2.15
2875,2.1873
2900,2.1201
2925,2.3362
2950,2.0891
2975,2.285
3000,2.1723
3025,2.2272
3050,2.1416
3075,2.2736
3100,2.0601
3125,2.3018
3150,2.1376
3175,2.2699
3200,2.153
3225,2.2722
3250,2.0999
3275,2.2881
3300,2.0775
3325,2.2847
3350,2.0937
3375,2.2713
3400,2.1176
3425,2.2482
3450,2.1059
3475,2.2989
3500,2.1279
3525,2.2751
3550,2.0812
3575,2.2315
3600,2.1386
3625,2.3081
3650,2.1814
3675,2.187
3700,2.0622
3725,2.2673
3750,2.181
3775,2.1504
3800,2.1054
3825,2.2694
3850,2.0701
3875,2.2544
3900,2.1563
3925,2.2843
3950,2.0578
3975,2.2467
4000,2.2356
4025,2.1884
4050,2.1935
4075,2.2649
4100,2.0954
4125,2.3121
4150,2.1591
4175,2.3175
4200,2.1315
4225,2.2329
4250,2.0718
4275,2.3415
4300,2.1218
4325,2.3171
4350,2.1074
4375,2.2813
4400,2.1094
4425,2.3402
4450,2.0887
4475,2.2493
4500,2.1258
4525,2.2184
4550,2.0013
4575,2.2604
4600,2.1649
4625,2.2522
4650,2.1728
4675,2.2839
4700,2.0641
4725,2.2354
4750,2.218
4775,2.3533
4800,2.0488
4825,2.2724
4850,2.1348
4875,2.174
4900,2.1344
4925,2.3068
4950,2.134
4975,2.2798
5000,2.1069
5025,2.2567
5050,2.1402
5075,2.262
5100,2.1486
